Time_min,Temp_In_C,Temp_Out_C
50.15,68,68.52
50.1666666666667,69.84,68.82
50.1833333333333,69.49,69.05
50.2,69.72,68.59
50.2166666666667,69.44,69.02
50.2333333333333,70.05,69.35
50.25,70.68,68.94
50.2666666666667,70.06,68.84
50.2833333333333,69.68,70.16
50.3,68.68,69.45
50.3166666666667,68.69,68.98
50.3333333333333,69.69,69.84
50.35,69.44,70.54
50.3666666666667,69.32,70.34
50.3833333333333,69.39,70.33
50.4,69.34,70.58
50.4166666666667,69.56,70.45
50.4333333333333,69.73,70.64
50.45,69.78,70.92
50.4666666666667,69.92,70.9
50.4833333333333,69.64,71.29
50.5,69.98,70.86
50.5166666666667,69.53,71.32
50.5333333333333,69.65,70.93
50.55,68.92,71.46
50.5666666666667,69.58,71.3
50.5833333333333,69.7,71.17
50.6,69.88,71.04
50.6166666666667,69.49,71.01
50.6333333333333,69.75,70.77
50.65,69.69,70.23
50.6666666666667,69.82,70.44
50.6833333333333,69.22,70.28
50.7,70.62,70.48
50.7166666666667,69.63,70.26
50.75,69.7,69.78
50.7666666666667,69.75,70.33
50.7833333333333,70.18,69.88
50.8,69.74,68.99
50.8166666666667,69.49,70.01
50.8333333333333,69.68,69.2
50.85,69.75,68.78
50.8666666666667,69.63,68.87
50.8833333333333,69.71,68.92
50.9,69.67,69.12
50.9166666666667,70.52,69.1
50.9333333333333,69.67,68.72
50.95,69.11,68.93
50.9666666666667,69.41,69.08
50.9833333333333,69.5,68.97
51,69.82,69.44
51.0166666666667,69.28,69.44
51.0333333333333,70.7,69.76
51.05,70.42,69.72
51.0666666666667,69.55,69.76
51.0833333333333,69.87,69.78
51.1,69.72,70.02
51.1166666666667,69.78,70.7
51.1333333333333,69.38,70.4
51.15,69.95,70.29
51.1666666666667,69.73,70.28
51.1833333333333,69.57,70.68
51.2,70.11,70.47
51.2166666666667,69.74,70.78
51.2333333333333,70.37,70.78
51.25,70.08,70.46
51.2666666666667,69.91,70.67
51.2833333333333,70.22,70.37
51.3,69.67,70.7
51.3166666666667,69.36,70.33
51.3333333333333,70.05,70.6
51.35,69.65,70.31
51.3666666666667,71.42,70.42
51.3833333333333,70.06,69.83
51.4,70.33,69.68
51.4166666666667,70.03,69.73
51.4333333333333,70.29,69.48
51.45,69.81,69.4
51.4666666666667,70.23,69.49
51.4833333333333,70.57,69.3
51.5,70.02,69.17
51.5166666666667,70.02,69.38
51.5333333333333,69.77,68.96
51.55,69.93,69.07
51.5666666666667,69.71,69.2
51.6,69.59,68.93
51.6166666666667,69.76,68.81
51.6333333333333,68.44,68.95
51.65,69.95,68.78
51.6666666666667,70.14,69.22
51.6833333333333,70.23,69.21
51.7,69.85,68.69
51.7166666666667,69.37,68.38
51.7333333333333,69.93,68.81
51.75,69.83,68.74
51.7666666666667,69.99,68.78
51.7833333333333,69.43,68.84
51.8,70.14,68.67
51.8166666666667,69.87,68.62
51.8333333333333,70.36,69
51.85,70.05,68.17
51.8666666666667,70.26,68.89
51.8833333333333,70.16,68.64
51.9,69.8,68.66
51.9166666666667,70.01,69.12
51.9333333333333,69.88,68.35
51.95,69.63,68.39
51.9666666666667,70.01,68.62
51.9833333333333,70.43,68.78
52,70.15,68.56
52.0166666666667,70.29,68.34
52.0333333333333,70.33,68.34
52.05,70.15,68.22
52.0666666666667,70.22,68.51
52.0833333333333,69.75,67.81
52.1,70.47,68.21
52.1166666666667,70.13,68.24
52.1333333333333,70.57,67.73
52.15,69.23,68.08
52.1666666666667,69.64,68.02
52.1833333333333,70.22,67.92
52.2,70.05,67.85
52.2166666666667,70.2,67.34
52.2333333333333,69.88,67.56
52.25,70.01,67.61
52.2666666666667,69.8,67.3
52.2833333333333,69.86,67.15
52.3,70.22,67.51
52.3166666666667,70.07,67.32
52.3333333333333,69.85,67.29
52.35,69.93,67.3
52.3666666666667,70.41,67.08
52.3833333333333,70.18,67.3
52.4,70.03,66.58
52.4166666666667,70.17,67.22
52.45,70.32,66.83
52.4666666666667,69.95,66.49
52.4833333333333,69.94,66.56
52.5,70.28,66.07
52.5166666666667,69.97,66.29
52.5333333333333,70.11,66.02
52.55,70.02,66.26
52.5666666666667,70.15,66.2
52.5833333333333,70.16,65.73
52.6,70.45,65.61
52.6166666666667,70.25,65.69
52.6333333333333,70.39,65.38
52.65,70.58,65.7
52.6666666666667,70.29,65.75
52.6833333333333,70.32,65.18
52.7,70.15,64.92
52.7166666666667,69.98,65.11
52.7333333333333,70.9,64.93
52.75,69.79,65.05
52.7666666666667,70.04,65.16
