Hours,T_In,T_Out
35.8333333333333,52.2799999999997,53.4799999999946
35.9166666666667,53.3399999999993,48.6200000000019
36,53.3599999999994,55.4000000000008
36.0833333333333,51.8499999999993,67.4599999999933
36.1666666666667,53.0999999999988,49.2400000000017
36.25,52.2100000000014,52.5500000000037
36.3333333333333,52.0200000000001,64.6400000000019
36.4166666666667,51.6000000000014,50.9599999999982
36.5,53.189999999999,53.1400000000025
36.5833333333333,51.3900000000014,57.7699999999945
36.6666666666667,52.5300000000001,48.6500000000013
36.75,52.6100000000003,60.3000000000012
36.8333333333333,51.929999999999,51.2699999999984
36.9166666666667,53.4199999999992,49.3300000000013
37,51.1200000000007,61.6900000000061
37.0833333333333,52.8999999999995,48.1099999999996
37.1666666666667,52.1500000000007,61.4500000000017
37.25,52.7699999999981,52.8899999999977
37.3333333333333,53.380000000001,50.7700000000031
37.4166666666667,52.8799999999996,58.9900000000031
37.5,51.2200000000006,58.5099999999999
37.5833333333333,52.0800000000002,50.5399999999979
37.6666666666667,53.4799999999997,50.2799999999993
37.75,53.7499999999989,60.2800000000031
37.8333333333333,52.659999999999,50.9399999999955
37.9166666666667,53.1000000000008,50.2299999999991
38,52.6099999999995,64.2899999999978
38.0833333333333,52.5300000000009,48.9299999999991
38.1666666666667,53.6299999999988,51.1700000000022
38.25,51.600000000001,62.6900000000014
38.3333333333333,52.4599999999999,58.1199999999955
38.4166666666667,51.8000000000014,51.009999999999
38.5,52.6100000000007,50.690000000001
38.5833333333333,52.4099999999984,62.4300000000022
38.6666666666667,51.939999999999,47.8800000000009
38.75,53.0800000000001,51.7000000000015
38.8333333333333,51.3300000000015,61.9700000000028
38.9166666666667,53.089999999999,47.85
39,54.1899999999993,50.0900000000018
39.0833333333333,52.6099999999995,60.3200000000036
39.1666666666667,52.6899999999998,51.7099999999973
39.25,52.4100000000016,51.8800000000025
39.3333333333333,53.1899999999989,63.5499999999965
39.4166666666667,51.8900000000016,49.3
39.5,51.9199999999936,54.01
39.5833333333333,51.8699999999997,63.4799999999912
39.6666666666667,51.7100000000001,48.6699999999989
39.75,53.1900000000004,51.2400000000025
39.8333333333333,51.1800000000009,60.6200000000052
39.9166666666667,53.1799999999988,47.2499999999999
40,53.0600000000002,54.2000000000022
40.0833333333333,52.7299999999991,64.5499999999996
40.1666666666667,51.5400000000018,50.2399999999968
40.25,53.3599999999998,54.8800000000016
40.3333333333333,52.0199999999992,63.7600000000015
40.4166666666667,52.0300000000006,48.6399999999995
40.5,54.0000000000009,52.3000000000013
40.5833333333333,51.2900000000007,65.5099999999962
