Hours,T_In,T_Out
2.775,66.2700000000011,71.8199999999988
2.78055,66.3227999999991,69.5388000000001
2.7861,67.2060000000003,72.0788000000008
2.79165,66.8544000000007,68.2161999999964
2.7972,67.3088000000017,71.0907999999993
2.80275,67.0790000000005,69.3519999999992
2.8083,67.3760000000017,71.8768000000003
2.81385,66.1797999999987,69.8646000000014
2.8194,66.4783999999995,71.3447999999999
2.82495,66.9284000000002,69.796399999997
2.8305,66.8160000000002,70.3360000000004
2.83605,66.9431999999998,71.5984000000024
2.8416,67.0047999999995,69.6704000000005
2.84715,67.1148,71.6348
2.8527,66.2151999999978,69.2016000000007
2.85825,66.9259999999995,71.6280000000003
2.8638,66.8512000000001,69.6287999999999
2.86935,66.8951999999993,71.7406000000011
2.8749,67.1451999999999,70.3255999999998
2.88045,67.5925999999994,70.6021999999996
2.886,67.3640000000015,71.0139999999993
2.89155,67.3833999999984,69.7488000000008
2.8971,67.5032000000009,70.9471999999997
2.90265,67.0308,68.8934000000004
2.9082,67.1620000000003,71.4815999999969
2.91375,67.2800000000005,69.2699999999993
2.9193,67.5116000000013,71.523199999998
2.92485,67.0431999999992,68.9751999999988
2.9304,67.5544000000007,71.6296000000017
2.93595,67.4633999999994,70.1178000000002
2.9415,67.332000000002,71.1680000000009
2.94705,67.5787999999994,70.9852000000001
2.9526,67.3408,70.3360000000008
2.95815,67.7104000000002,71.3148999999991
2.9637,68.0339999999994,70.1744
2.96925,67.7340000000002,71.5609999999988
2.9748,67.4735999999989,68.3216000000017
2.98035,67.6810000000006,71.9515999999994
2.9859,67.4332000000003,69.3320000000016
2.99145,68.1485999999988,70.7282000000004
2.997,67.7660000000012,70.9939999999993
3.00255,67.9811999999998,70.4415999999996
3.0081,67.779199999999,71.1644000000002
3.01365,67.3547999999998,69.5842000000009
3.0192,67.3519999999991,72.2043999999985
3.02475,67.7909999999978,68.854000000001
3.0303,67.427600000001,71.7072000000023
3.03585,67.7172000000002,70.5235999999991
3.0414,67.971199999995,71.0371999999989
3.04695,68.0769999999978,70.5698000000016
3.0525,68.0799999999981,69.8800000000004
3.05805,67.4840000000009,71.5494000000001
3.0636,67.8475999999966,68.9951999999989
3.06915,67.9310000000004,71.1033999999989
3.0747,67.0427999999951,69.7823999999993
3.08025,68.3210000000007,71.7540000000001
3.0858,68.7848000000011,69.5381999999994
3.09135,68.1708000000002,71.167
3.0969,68.3188000000002,69.9859999999993
3.10245,68.1920000000002,70.968200000001
3.108,68.213999999999,70.8599999999991
3.11355,67.9848000000003,69.4908000000015
3.1191,68.2539999999994,71.7167999999995
3.12465,68.0023999999993,69.305799999999
3.1302,67.9652000000006,71.8164000000002
3.13575,66.3679999999993,69.7780000000004
3.1413,64.9771999999992,70.6043999999995
3.14685,64.5075999999996,70.4045999999995
3.1524,63.5835999999987,70.5192000000001
3.15795,63.6038,70.1093999999997
3.1635,63.5940000000003,70.697999999999
3.16905,62.7612000000024,69.5733999999984
3.1746,63.4356000000009,71.1627999999978
3.18015,63.4236000000016,69.4934000000013
3.1857,63.5523999999971,71.7259999999993
3.19125,63.9350000000021,68.700000000001
3.1968,64.1516000000004,71.3879999999997
3.20235,64.4826000000004,68.4618000000005
3.2079,64.2091999999996,71.6404000000002
3.21345,64.6299999999987,69.3798000000005
3.219,64.6779999999996,71.1620000000007
3.22455,64.89,70.3780000000002
3.2301,65.2123999999995,70.0760000000002
3.23565,64.7133999999989,70.9989999999986
3.2412,63.6784000000018,69.5216
3.24675,65.2490000000004,70.6660000000016
3.2523,65.2760000000008,69.7676000000003
3.25785,65.3586000000002,71.6682000000001
3.2634,64.9852000000023,68.8724000000008
3.26895,65.8265999999993,71.4561999999996
3.2745,65.5820000000012,69.3799999999988
3.28005,65.6321999999994,71.4944000000002
3.2856,65.5179999999995,69.5927999999976
3.29115,65.6756000000001,71.3887999999998
3.2967,73.9360000000013,73.4648000000025
3.30225,74.8820000000028,71.4740000000028
3.3078,75.6236000000004,69.2959999999988
3.31335,66.2861999999985,59.68
3.3189,66.1231999999999,64.4331999999998
3.32445,65.4571999999998,71.4089999999999
3.33,65.3600000000006,72.0199999999995
3.33555,65.5113999999999,69.7502000000029
3.3411,65.3595999999997,71.9539999999999
3.34665,65.3804000000002,69.5058000000001
3.3522,65.5392,71.5608000000013
3.35775,65.6689999999998,70.0249999999996
3.3633,65.8128000000001,70.3554000000005
3.36885,65.8885999999977,71.2714000000011
3.3744,66.3612000000004,70.0684
3.37995,66.1377999999975,71.2276000000014
3.3855,66.8259999999999,68.7520000000005
3.39105,66.6993999999991,70.8405999999958
3.3966,66.9387999999994,68.4507999999981
3.40215,67.2318000000002,71.2648000000001
3.4077,67.2948000000005,69.7048000000005
3.41325,67.4600000000006,70.8329999999971
3.4188,67.3167999999993,69.2748000000003
3.42435,67.5701999999986,71.3848000000007
3.4299,67.2375999999983,69.8775999999997
3.43545,67.5009999999992,71.3746000000006
